symbol,price,price_change,price_percent_change
WMC,458.23,-0.61,0.31%
ZFY,162.77,-7.49,-2.32%
RNU,181.78,7.01,0.99%
AZMU,74.75,-4.04,-3.87%
ZHQ,342.33,0.38,-3.39%
XBCH,13.52,-9.0,1.61%
VVRX,401.57,2.67,-0.04%
YDAP,127.6,-8.91,-4.3%
GYB,280.12,-7.03,1.88%
NGRQ,96.88,8.13,1.04%
KSO,173.6,-7.37,-0.3%
QYS,461.29,1.17,-3.42%
BBD,119.46,-1.08,-0.72%
MQK,120.81,7.48,0.92%
FOG,102.56,1.93,3.11%
ADX,40.74,-3.92,-1.97%
UTH,256.16,-7.34,-0.74%
IKY,204.13,3.46,4.4%
CWYP,132.82,1.64,1.87%
WHC,20.05,-0.9,-0.21%
YPYA,98.07,-4.08,4.51%
DPCU,225.64,7.04,3.85%
KSQK,392.59,4.95,2.58%
FGFH,411.02,-8.33,0.3%
QRK,263.56,-0.54,4.22%
YPS,115.8,-2.03,1.06%
ASZ,73.5,8.59,-1.67%
DDHZ,139.03,0.27,3.69%
JBTR,244.35,-4.05,-4.61%
TUSU,100.76,8.82,-2.46%
PRD,241.35,-3.98,2.71%
WQD,303.94,-5.18,0.29%
TJHH,249.45,1.55,3.71%
LBI,393.68,7.77,-4.09%
ACXU,40.48,4.88,4.1%
ISF,457.08,-5.75,-0.32%
KAQ,336.71,-7.65,2.24%
CKF,424.0,6.47,2.27%
UHXM,255.28,8.23,-0.83%
UAB,336.71,8.88,0.08%
XDNR,132.55,1.74,2.08%
IBLN,155.39,6.06,-0.9%
PVZ,329.29,2.96,-0.86%
PEX,413.82,-4.89,2.1%
NBC,20.03,4.18,4.38%
XWOE,390.24,-4.8,-2.62%
YUH,205.08,6.38,-4.85%
IMR,241.2,-9.84,-0.16%
JVPL,323.71,2.37,2.29%
CUF,107.64,8.03,-4.25%
NTW,189.4,5.69,-0.61%
FPFI,218.57,0.99,-4.34%
EFLS,162.73,-5.71,-4.28%
BOC,422.47,-5.36,4.27%
TNVS,107.29,-9.86,-3.72%
KST,74.24,8.41,4.69%
SEO,175.53,-5.08,-2.58%
POTN,80.6,-3.89,-2.0%
CEX,112.87,7.44,0.12%
IRTV,56.81,-0.17,1.8%
LXH,361.93,3.67,-0.44%
AAJ,472.75,2.79,0.47%
AXBY,151.61,6.18,1.29%
SVQQ,38.12,-7.3,-4.33%
PCMT,423.63,-0.68,1.03%
ALEE,461.0,-9.27,0.73%
SOYB,44.0,-1.58,2.89%
ZLN,264.75,3.97,-0.29%
ALA,37.76,3.46,-4.53%
BQF,361.5,-8.07,-1.36%
GQLS,207.18,-5.13,-2.49%
FBX,203.62,-4.99,0.13%
UDBW,44.41,5.55,0.61%
MWI,87.19,-6.13,-1.48%
XNFO,269.57,-4.3,-2.91%
LBHD,399.63,3.37,-0.31%
TNA,499.77,7.08,2.83%
OIB,176.09,-1.04,-3.1%
MWDU,145.12,7.09,2.03%
CGN,295.36,-2.62,-2.52%
WUN,112.42,-9.46,4.2%
FKP,183.04,9.64,3.51%
JLGF,372.29,2.5,-3.8%
ELTV,297.61,9.63,4.59%
FML,458.89,4.16,4.79%
NQF,396.16,-4.29,1.57%
BYS,56.27,-6.02,-2.0%
QPQN,37.82,8.59,0.78%
TLXG,19.15,-4.35,0.92%
XOV,344.28,-3.19,-3.67%
VVK,336.42,-5.76,-2.69%
UFOO,58.56,-5.9,-0.86%
DAL,257.65,0.91,0.15%
MRP,46.8,-1.65,-2.22%
RVK,237.14,-2.77,-2.36%
VDB,392.89,4.83,-0.64%
NIB,319.41,6.8,0.59%
CYD,251.28,2.72,0.6%
HZF,376.15,-1.72,1.66%
QUXY,428.77,2.61,-3.43%
WIZ,302.08,9.57,-4.63%
ILSQ,140.91,1.21,3.79%
AGJ,482.63,6.86,3.84%
SAG,486.36,-7.75,1.53%
OHXN,205.96,2.86,2.7%
LDUU,394.31,3.43,-2.02%
BYKU,412.73,0.89,-0.19%
GKDW,203.19,0.06,2.81%
TUK,195.7,-4.36,-0.76%
VOXF,428.11,7.79,-0.95%
ZWFR,350.7,-5.03,4.52%
FWH,392.56,4.27,-3.76%
IAZ,488.26,3.87,-0.68%
IXP,249.58,-8.55,-3.17%
TXZA,498.22,9.66,-1.28%
OJT,475.24,-5.55,1.59%
UQZA,322.78,7.47,0.08%
BQK,120.67,8.81,-3.2%
BZB,129.71,-3.87,3.96%
WXM,348.42,-3.01,3.73%
ZEYF,65.57,-8.14,2.61%
QZI,431.11,-2.82,-2.46%
QIE,126.37,-8.58,-1.27%
TWJ,52.34,1.7,-1.22%
LSRD,291.09,-7.52,-1.51%
HOT,239.93,-8.18,4.06%
HOH,401.86,9.79,3.05%
COZ,485.75,-5.29,0.78%
FYEQ,234.2,-3.08,-4.22%
YYH,52.96,-3.43,2.13%
AVBC,472.75,-7.93,-3.04%
FGOT,455.76,-8.05,3.36%
OGO,324.72,-3.0,-2.34%
PLZV,19.57,8.06,1.86%
QYQU,480.88,8.76,-4.72%
HIZ,429.95,5.67,-4.72%
DKZC,145.97,9.66,1.14%
QXSB,425.01,5.15,-3.1%
ZEG,337.11,-4.88,-1.58%
EYYH,338.47,8.01,2.36%
OGR,387.03,-4.88,-2.3%
QYWB,216.33,4.78,-1.0%
LLH,357.99,-1.83,-4.83%
EVA,439.05,-5.44,-0.86%
FIBE,131.74,8.48,-0.43%
NTM,401.96,-7.57,-3.05%
RFH,159.24,-7.57,-1.88%
JICJ,375.56,-5.59,-1.52%
TJM,383.87,-8.21,-0.11%
LHCZ,243.23,3.08,-0.62%
TUFF,217.06,7.44,2.81%
DAZV,120.45,6.91,-0.74%
WMAM,313.32,-6.86,3.89%
UIOY,386.11,-0.12,-4.64%
DILM,139.02,9.72,4.89%
QXTV,76.71,-0.45,-2.7%
VDRB,278.22,8.55,2.32%
JRX,245.77,6.55,-2.58%
GEE,413.79,-7.47,4.17%
BPD,211.73,-4.45,3.6%
IXM,343.35,5.12,-1.38%
MYB,242.18,7.2,-3.15%
DHDZ,474.75,5.9,-3.5%
XRH,458.11,-4.44,2.3%
CCF,444.51,-5.61,-0.67%
HGXQ,245.82,7.18,0.81%
HNK,421.52,-8.26,-1.76%
YPES,104.78,-6.45,2.86%
JMF,110.24,-7.88,4.22%
MSX,307.86,2.78,-2.86%
XAMV,416.78,7.68,2.64%
FDKT,209.93,3.01,-3.99%
RAQ,92.31,-6.28,-2.79%
UCP,428.76,9.24,1.43%
ECG,476.92,7.67,-1.04%
MIDK,107.88,6.3,-2.83%
OFVC,270.05,-9.9,-0.89%
AVCK,472.42,-0.78,-2.4%
PZP,140.57,-8.43,3.5%
OGH,379.54,8.73,1.58%
YRNC,209.47,3.76,-3.44%
MII,218.6,6.21,-1.07%
LKO,126.64,-8.63,4.39%
DLYF,171.09,-0.69,3.54%
INKG,414.43,-5.16,-1.94%
TXN,68.29,5.97,2.5%
NCC,93.39,1.58,0.12%
NSY,171.66,2.4,2.24%
ETD,335.47,-5.91,-3.21%
XNN,403.06,9.69,1.79%
MZL,418.03,6.24,-2.78%
BSLH,423.51,3.1,3.99%
CBZG,476.09,-2.84,4.7%
ULN,294.04,-0.92,-4.65%
WFMI,399.96,-5.72,-2.4%
NLU,434.85,7.72,1.97%
RKI,263.05,-5.06,3.24%
KPR,342.11,5.88,-1.16%
HAKW,188.66,-5.92,1.38%
JOQD,356.0,-0.86,-3.44%
SEV,282.76,7.92,-1.11%
FOG,454.14,-5.43,4.59%
CVX,243.01,-3.54,2.13%
TMFB,492.01,-3.09,1.18%
NRX,463.37,5.43,1.16%
DAMY,358.53,-7.43,2.79%
ORZ,298.52,1.67,0.84%
XIA,461.99,-5.11,-1.39%
HUI,183.25,-2.25,1.2%
IMB,85.64,-5.18,3.18%
XDB,180.22,-1.72,-2.56%
QZM,485.85,6.29,-0.41%
CTA,327.18,-8.78,3.47%
IVFY,469.9,5.68,-3.66%
LFUQ,411.83,0.39,-2.36%
TNGW,488.62,3.87,4.41%
ZIQK,271.81,3.72,4.94%
YER,262.31,-6.14,3.4%
TGFE,185.77,-3.07,2.88%
OANM,372.41,-0.64,-2.33%
OTLC,77.3,-1.14,1.15%
ZVH,454.47,8.15,-0.02%
VXN,255.52,-7.78,3.65%
SCC,342.46,-8.88,0.15%
UKLQ,196.79,6.61,2.13%
MANL,154.04,6.0,0.96%
MQY,434.04,-2.91,-3.37%
YTN,340.52,4.44,4.06%
EMCJ,358.15,5.19,3.32%
HKMK,17.68,-7.37,-2.74%
XEFZ,142.32,-0.03,-0.55%
AONE,65.03,-4.91,-1.14%
IGP,297.53,8.5,2.05%
MDPR,209.42,-6.95,1.34%
PAJ,347.89,-8.0,0.61%
KXNW,423.23,0.98,-2.62%
OAU,144.11,0.44,4.65%
YPJE,439.08,-5.84,2.43%
KCR,204.7,6.91,-4.88%
IWR,60.29,-9.37,-2.39%
HRMC,231.21,1.45,2.7%
IBX,482.15,-4.7,-1.61%
ELJ,287.89,-9.98,-3.98%
BXHK,337.67,-6.63,2.46%
FLSF,457.92,8.23,-0.43%
BQIU,162.77,3.13,-3.67%
JWOC,178.3,3.59,0.15%
RPEI,266.61,-2.1,-3.45%
EOXU,139.11,-3.61,0.84%
LBRN,146.63,-3.51,1.2%
RESR,389.18,9.21,1.63%
LTWH,113.92,-4.35,-3.95%
DBC,202.86,-9.04,0.89%
LZZ,490.25,8.76,-1.72%
UEV,69.82,-5.91,-3.12%
HGZ,360.9,-0.57,-0.21%
IIX,484.21,0.57,4.18%
LIT,400.93,-5.68,2.53%
DLLP,49.09,2.74,3.48%
RKLN,381.77,-5.3,-3.93%
QPZ,341.05,-4.8,-2.43%
HXGP,175.9,-9.07,4.22%
UOHW,481.67,-5.98,4.62%
HFMG,47.92,8.44,-0.72%
PDSH,17.26,-2.25,4.28%
PJA,217.28,-5.66,2.97%
PKLX,318.46,-7.15,-4.17%
SPT,152.52,9.1,4.25%
CHQG,464.82,7.66,-4.24%
UNN,93.62,6.74,3.44%
PSBP,106.35,-2.55,2.49%
JRBE,240.02,8.18,-3.98%
BZQ,80.97,2.83,-4.42%
OPG,230.1,-2.59,-1.51%
ASVM,269.69,1.59,0.17%
MUS,189.34,-5.52,3.88%
UXYQ,303.68,-1.98,-2.06%
LOX,15.18,-1.84,-1.53%
KIL,392.29,9.83,-4.49%
OOJJ,358.0,5.92,4.38%
PZU,355.96,-9.9,-2.42%
MXVW,376.72,3.72,-0.37%
DWCC,307.14,-2.04,1.86%
BFXT,274.27,9.61,-2.25%
UJPW,429.34,-2.19,-3.72%
YKP,42.8,7.88,-0.08%
YFD,417.38,1.5,-2.35%
YBFJ,339.3,-9.32,-1.58%
ZWDA,204.48,5.08,1.29%
JLT,487.8,-3.48,2.39%
NOLJ,130.8,-6.95,-2.38%
JTSN,54.12,-1.17,-4.51%
XFBB,246.78,-4.89,-4.13%
VUU,354.8,-5.04,-0.5%
PZCF,108.8,-4.44,-2.78%
MHP,124.27,3.78,1.59%
YXE,50.01,7.74,-3.41%
MEXP,298.74,-9.85,-2.73%
AKYZ,169.57,-0.17,-0.45%
UZVP,81.22,-3.59,-1.73%
LDTC,421.19,-0.1,2.4%
SBD,352.24,0.89,1.85%
EGC,20.36,8.38,3.06%
IDB,338.14,-5.16,-4.27%
OYSR,45.26,5.37,1.99%
IKBQ,370.48,-8.91,-0.62%
NLB,495.89,0.63,0.39%
JRWR,15.59,-6.73,-4.88%
DHJ,250.63,5.57,3.58%
SUYF,88.57,8.81,0.63%
SYB,259.08,-0.35,-1.02%
JNL,98.98,1.65,-3.49%
ECHS,148.88,4.24,0.26%
KAP,498.24,-2.33,-2.73%
BMX,251.07,-3.76,-1.05%
KDG,357.66,0.87,-2.86%
GRB,331.4,-7.84,-0.65%
SCNZ,409.18,-0.11,3.51%
HJGV,226.88,-8.45,-2.16%
BQA,406.35,0.06,-1.89%
HNA,61.02,0.97,-2.67%
WRHK,64.41,9.11,-0.31%
QCBL,228.35,-7.4,1.56%
RYQS,379.18,-6.71,3.64%
CAK,240.41,-9.12,1.33%
ULT,147.05,-4.85,1.15%
KYO,159.55,-1.12,0.66%
GTK,58.24,8.41,0.9%
SNZY,65.58,-4.46,1.99%
NFJ,100.89,-8.88,4.03%
NVRU,65.11,-3.36,0.02%
ITB,376.67,-8.88,3.95%
VRZ,395.79,5.77,4.92%
WIGP,469.71,3.52,0.04%
DIQT,407.02,1.8,-2.5%
VUDO,146.17,-9.34,1.36%
PFVX,421.51,1.85,1.43%
CQJ,333.45,3.83,2.34%
ARE,316.8,7.68,-2.15%
HBE,78.35,5.96,-2.33%
CQEE,88.57,-1.49,0.47%
AJHJ,491.05,7.76,4.64%
GPTA,263.65,3.06,1.31%
ZCA,207.04,3.99,-4.95%
UMU,384.67,-9.57,-4.19%
FFVM,258.84,6.24,3.0%
MOO,454.94,4.54,2.67%
IJCL,75.1,-5.34,2.11%
IAFR,299.16,9.04,-4.27%
WPLD,378.78,-2.65,-4.02%
YYDJ,158.75,-8.37,3.1%
SYL,45.3,-4.79,-3.0%
SNY,127.69,7.13,-3.73%
HRP,476.04,2.24,3.22%
CRJL,52.69,-7.55,-1.79%
BSDE,96.52,2.83,-3.49%
HCLV,233.61,4.67,-2.21%
OWGB,117.89,5.08,0.05%
JRCF,294.28,4.82,-2.61%
MRG,282.25,3.96,-2.06%
QRF,315.22,6.68,-4.83%
XRG,459.26,-3.29,4.12%
PFZD,284.88,-4.1,4.31%
PNWP,447.35,-6.53,4.94%
HHFO,105.79,9.3,2.63%
RXB,364.05,5.75,-0.49%
TQDA,153.14,-6.02,2.0%
VCH,378.85,-8.32,4.62%
PGG,263.1,7.22,3.95%
YIC,120.1,-0.36,2.84%
AWX,497.35,2.52,1.95%
LVU,218.56,-2.16,4.14%
DPZ,146.18,-9.27,0.08%
OYD,338.09,4.51,2.49%
ISFI,75.27,-4.12,0.39%
YWI,291.07,6.62,2.84%
GSKP,253.47,2.43,-2.77%
SQO,305.63,-5.34,-2.7%
LRLM,81.05,4.21,0.5%
QCD,367.31,9.53,2.23%
ETL,236.74,8.45,-2.7%
VCD,387.67,-8.18,-1.6%
VWPH,208.54,-3.75,-3.18%
YYW,319.39,6.6,-0.02%
PTW,124.01,-6.64,4.75%
OMT,355.92,-5.35,-3.58%
FOUK,352.55,7.72,-0.32%
VHH,47.64,-8.37,3.92%
GUB,107.49,8.66,0.7%
OKD,205.35,-9.82,-4.53%
MUB,169.2,-4.07,-1.4%
IJZN,426.82,4.44,1.86%
OUF,59.16,5.27,-1.24%
BWYC,454.98,-1.28,-4.41%
XFV,249.86,-7.96,3.69%
NNV,58.03,-9.2,-0.82%
ZMQ,154.41,-5.55,0.06%
NSWH,249.56,-4.85,-0.44%
JGUF,481.67,1.55,-0.92%
RMGV,262.37,-3.33,-4.33%
UAR,64.21,4.24,0.6%
CCIO,470.16,7.0,4.46%
JVNZ,246.88,5.4,0.26%
XDVB,468.22,-4.26,-4.44%
RGBG,415.3,5.65,-3.43%
JNOU,48.14,6.02,-4.1%
MZD,210.51,-1.43,0.49%
QOC,319.17,-8.55,4.1%
JJPE,380.97,-0.06,-3.2%
LXBP,171.93,2.52,-0.18%
GKEL,19.12,6.98,0.13%
UVEJ,475.14,-7.37,-3.52%
HBLP,498.75,-9.99,-4.48%
LTB,363.74,8.26,0.6%
VNN,99.7,6.92,1.61%
ZTL,14.92,6.88,0.28%
YRCI,209.48,-6.08,2.34%
NPH,325.83,1.18,-1.82%
UTBJ,149.87,-9.31,-3.97%
YHUX,463.11,-5.06,3.15%
SDC,93.77,9.39,4.27%
ERS,107.09,-6.62,-3.71%
RJK,206.21,6.65,-3.01%
ONO,352.28,0.96,2.74%
TTS,461.25,-2.95,2.92%
ZKJ,276.23,-9.13,-4.38%
OOFZ,374.42,-6.02,4.38%
GZB,48.12,8.84,0.47%
PZT,207.88,6.11,-3.04%
LMDX,498.85,8.13,2.37%
YWHC,152.14,-9.84,-2.8%
PHK,193.79,-5.6,1.49%
DLQL,290.24,5.77,4.71%
OSM,441.65,0.04,3.55%
JAS,310.85,-2.6,-3.32%
FQL,452.27,-9.94,0.94%
JXTD,478.79,0.96,0.49%
ISJL,40.7,-9.05,2.06%
JBTS,318.69,6.44,-2.65%
AFXD,426.54,-1.8,-4.2%
ZREM,346.29,1.55,-1.64%
CGYK,72.15,6.94,-0.89%
ZHJU,211.3,4.89,4.66%
ISY,235.35,9.5,-3.05%
OTB,404.11,-2.67,-0.18%
HPUG,153.61,-9.76,-4.76%
QOV,405.43,-6.69,-3.59%
KQVO,388.34,-5.97,1.92%
OLK,147.1,1.65,2.86%
HXBQ,108.61,2.17,-1.88%
BYE,432.31,4.05,3.07%
AHV,38.69,5.58,-0.93%
YUCS,476.97,9.12,1.39%
TEFV,472.97,5.68,-3.04%
QIVL,372.72,-5.64,-1.83%
SOTV,34.62,-2.43,1.64%
MVXP,271.62,-2.86,-4.53%
OHMH,272.84,4.98,-2.8%
LCU,443.4,-6.99,1.96%
KIW,182.01,4.39,-1.96%
UIF,361.96,7.38,0.25%
CUEN,216.49,6.35,1.06%
TKER,73.02,3.71,-1.95%
DBM,472.56,-4.63,4.43%
TRJ,467.95,3.16,-4.61%
UMF,234.34,8.44,-2.42%
NNZG,95.31,5.28,4.24%
MJY,170.24,-0.87,-1.36%
UHYG,212.84,-6.7,-3.99%
BMNB,264.79,9.74,4.27%
IMFG,387.13,3.37,-3.52%
IFQ,308.8,5.02,-4.59%
DSE,68.89,-8.14,2.32%
EQJO,377.63,4.28,-4.06%
TRBU,390.53,5.24,3.11%
ITXN,385.6,5.94,-4.37%
OIRU,84.56,2.74,-3.34%
IMF,400.25,-2.68,-3.89%
POS,487.69,3.5,-3.71%
XZY,177.77,-5.42,2.92%
ACZ,357.82,-4.92,0.28%
GWZ,364.94,-4.97,-4.9%
GUH,460.41,3.23,0.23%
SIVZ,23.3,-6.48,-1.35%
KBX,317.23,0.26,2.6%
RPM,451.13,-7.49,3.63%
DSB,31.96,6.02,3.78%
MRA,71.1,-9.98,-3.09%
DEV,176.85,-9.47,4.63%
YTNI,207.88,-4.86,1.39%
GVE,215.2,6.83,-0.3%
WNR,188.08,9.56,-3.63%
FXZ,127.7,5.8,-1.03%
NZGU,44.7,4.5,-4.49%
CKUI,306.71,-0.03,-0.93%
FLS,462.31,-3.22,2.29%
GUC,100.19,8.75,2.73%
VMOW,374.42,-7.77,3.8%
FRZP,157.53,-1.03,-4.67%
XDGZ,359.13,-1.07,-4.36%
ZNAK,29.28,4.42,-0.44%
MOE,143.35,-2.21,-4.15%
YNIM,485.01,-1.16,2.76%
KAAK,151.94,1.14,3.18%
BCQB,311.14,-4.7,-0.21%
LEEE,238.83,-8.37,-3.33%
KTA,269.25,-1.82,-2.45%
BNGV,41.46,-5.19,-1.71%
VKFV,460.83,8.68,1.36%
AWY,59.54,5.68,3.16%
KXB,288.63,7.55,-0.75%
RJKA,236.3,-6.53,2.56%
BLIR,40.82,-3.25,-4.28%
GYQE,431.04,-9.89,-4.56%
CHA,160.5,0.45,-4.56%
LGRL,226.47,-6.32,3.63%
KJH,181.36,-8.39,-4.79%
BXA,141.7,-0.01,-2.36%
XKGN,180.02,-0.89,-0.71%
FRCI,61.94,8.05,-1.33%
IYH,271.38,0.25,-0.13%
DTO,152.03,8.96,-1.38%
VJO,436.92,-8.08,-0.15%
DJN,429.0,-6.29,1.35%
IDP,110.8,5.97,2.29%
SXHW,168.93,-8.95,3.76%
NNGM,255.68,-5.72,-1.74%
KOB,400.61,2.37,4.71%
PNXO,411.56,-0.25,3.76%
UVT,62.57,3.3,4.72%
WAR,141.82,-6.54,-4.51%
ZROT,98.73,9.57,-2.76%
PNFM,223.47,0.03,-2.62%
QIYF,499.32,0.91,-3.07%
NZAT,367.68,6.74,4.24%
TOYB,300.5,3.28,-2.96%
QMU,53.19,-7.33,-3.81%
RNU,188.78,-7.46,2.15%
SFBO,445.54,-4.37,4.5%
QOTO,120.09,-3.95,-4.02%
YLS,112.76,1.0,-4.4%
NAU,136.11,-0.58,-0.96%
QHEN,162.65,-6.36,-2.29%
QQKN,418.44,-3.83,1.98%
BNL,89.27,4.2,5.0%
IUT,236.38,-4.78,2.31%
YTJF,485.17,-8.24,-2.58%
CJSZ,204.4,3.75,-3.78%
IBMV,119.83,1.16,2.09%
IMH,477.93,-1.1,3.2%
KYY,41.35,-3.42,2.54%
NEP,493.85,6.18,-4.96%
MSNB,465.7,-5.47,-3.38%
SXYD,171.77,1.33,-0.0%
ZVJR,381.79,-5.7,2.63%
EAMZ,113.49,5.74,-4.12%
VBJ,433.25,6.65,-4.76%
UKZI,480.62,-9.08,-2.74%
PHU,49.29,4.95,-0.57%
GEI,354.41,-3.13,1.61%
ZXNP,284.74,-3.25,-0.83%
MVK,47.12,-0.95,-1.1%
LANG,213.42,2.45,-3.79%
AUIO,244.33,1.64,2.99%
SJCT,422.78,-1.23,1.0%
OQTK,283.18,2.24,-1.25%
DBL,305.89,4.01,-2.76%
YXVG,119.93,4.66,-4.0%
EJZY,264.3,0.84,-1.86%
KPT,16.62,2.94,0.69%
WMJ,435.33,0.49,4.82%
LIHW,405.83,6.91,3.99%
HIP,257.77,-7.81,1.0%
LXS,412.24,-3.18,3.82%
XZB,199.55,4.09,0.31%
JCA,177.39,2.1,-3.54%
AUL,35.87,-5.85,-2.4%
FVYL,308.87,0.0,-4.44%
LXFN,316.85,9.81,-3.18%
HMH,349.97,-7.26,4.24%
ZQZK,53.03,2.39,-3.35%
XQVT,361.87,5.38,1.42%
BLE,255.23,-1.47,-0.42%
XCE,425.12,-4.07,0.09%
INX,483.98,-1.24,3.81%
ARS,466.07,-7.21,-2.0%
RLF,318.39,3.63,-4.72%
MDVO,123.93,4.94,-2.42%
PTSR,456.85,-2.99,-4.03%
ITN,95.46,-3.58,2.18%
XOFW,381.81,-0.51,-1.88%
UQL,92.72,1.14,2.61%
QVTQ,449.3,7.6,-4.45%
HALZ,373.1,-3.7,2.1%
DUO,219.22,3.15,4.64%
QXU,408.36,-9.06,3.75%
OLPI,261.18,-5.77,1.52%
TSSG,236.96,-0.53,-1.57%
CKZ,316.77,-9.82,0.54%
VZHI,273.5,-8.65,-0.22%
LGMK,263.7,4.84,-3.53%
QPJQ,115.08,0.88,0.87%
JQW,493.35,7.53,-0.26%
BVW,109.72,7.85,-4.26%
TAXV,470.52,0.33,-1.5%
NPIM,366.12,4.85,1.72%
ZUV,60.59,5.6,1.69%
TAH,63.36,-1.84,0.45%
AYIA,202.9,-8.83,2.08%
VTM,416.64,8.95,4.69%
AIG,256.13,9.6,4.61%
OQT,16.36,2.72,-4.99%
EMPW,106.37,-9.32,-2.96%
AKH,457.63,-8.36,-0.04%
TCXP,288.93,-9.6,4.46%
LLYD,184.91,2.47,1.48%
LFU,42.32,-7.47,2.08%
VQXX,401.0,-9.75,-0.43%
IOP,30.92,-9.81,-3.15%
FWN,259.27,-2.36,-1.78%
LDP,415.2,0.89,3.16%
KGSO,47.96,-5.99,1.37%
HKQ,441.29,0.5,-0.64%
JNKL,418.05,8.88,1.09%
FFUP,113.15,7.43,-1.79%
SFWP,436.59,0.8,2.77%
UJN,383.81,-6.0,2.3%
WXA,477.35,2.78,2.55%
LNX,12.0,8.3,1.48%
XBR,95.33,-8.89,-2.21%
GAVV,473.81,-8.18,4.0%
RGQ,152.55,7.31,0.92%
GKJY,386.67,-8.77,3.97%
JVD,332.09,-5.22,1.42%
FHDS,215.7,-8.21,-1.0%
QHF,269.48,-4.32,0.45%
HTJU,440.97,-5.29,-1.02%
QAS,112.49,4.83,3.84%
XVO,313.06,3.49,4.04%
QCK,54.49,-3.71,1.22%
CQW,340.45,7.64,3.42%
KTD,202.52,1.84,-0.59%
IOUJ,499.69,-3.76,-2.91%
KRAI,264.85,-6.3,-2.31%
XTEE,254.31,7.88,-1.2%
AHEA,272.38,-8.05,-1.49%
WGL,371.33,9.83,2.08%
WOG,266.18,6.67,4.93%
RJG,434.16,-3.54,4.47%
EZV,350.78,4.91,-4.38%
KWY,475.74,-0.61,-4.58%
TUPN,113.46,-8.44,2.05%
XMQ,159.22,4.55,1.77%
PYP,330.71,3.27,0.86%
JAN,255.45,7.01,-0.45%
RCL,404.59,5.11,4.5%
HYY,157.26,-6.07,4.66%
FDC,162.39,6.37,-3.96%
LZM,134.62,-9.07,-3.78%
VOPV,335.11,1.43,0.81%
SSR,150.12,4.74,-1.59%
FKL,121.41,5.76,-3.51%
EQOP,82.16,2.01,3.72%
DAAX,95.28,-2.74,-2.78%
LQX,121.29,3.05,-4.59%
KYCB,83.61,-6.4,2.32%
CYNO,379.25,-3.05,-3.87%
RELG,227.17,-1.74,3.13%
JTC,428.24,9.82,-3.47%
YTT,132.87,-1.34,-4.62%
CPW,193.88,-7.41,3.75%
GUH,53.77,-3.4,1.04%
MGX,148.49,-9.05,-0.48%
MRWJ,285.94,-1.62,-3.22%
IOFY,110.8,-1.6,-1.08%
GIG,116.37,-2.97,-0.13%
PLG,404.0,-4.41,3.3%
WTXH,329.89,-1.74,2.95%
WDC,117.67,-4.86,-3.59%
EOHO,145.99,8.55,3.35%
XEI,121.98,5.55,-3.97%
WWBL,88.91,6.76,0.93%
HIG,187.94,0.27,2.06%
HFRT,209.44,-8.26,-2.25%
ZJF,134.24,0.93,-0.51%
ISU,142.56,-1.23,-2.27%
VUD,494.63,9.67,-2.9%
PAS,138.13,8.84,-1.82%
CTFU,180.4,0.64,1.68%
RBDP,318.74,9.42,2.18%
EUY,228.55,0.62,-1.8%
SQO,455.93,-8.95,-1.5%
KIQ,357.03,-1.48,-3.7%
QVU,232.78,7.52,-1.55%
RUX,305.27,0.91,1.36%
FDY,46.77,1.69,-0.55%
USWN,247.76,-5.72,-4.05%
BVFZ,78.3,-7.62,0.13%
XKA,433.15,-9.1,1.02%
YOHD,118.87,6.2,1.35%
QNH,229.44,3.79,2.26%
UQC,262.22,5.61,0.48%
CXML,160.98,-1.46,-4.17%
YCV,38.66,5.75,4.72%
OTSC,349.3,-5.54,0.19%
FCN,69.35,-6.91,-3.6%
ZOX,485.71,-6.11,-0.8%
MLB,22.14,0.61,-2.41%
YZBZ,183.66,-0.67,0.34%
EQFA,499.26,-6.36,-1.89%
LSFR,139.83,7.26,-0.18%
LDNI,70.47,1.02,-3.34%
EAQ,268.34,7.08,4.0%
DGTS,141.98,5.75,-3.85%
KQQZ,123.86,3.98,1.6%
ABHZ,93.94,-0.76,-3.74%
AGX,93.47,-1.24,4.64%
GRN,383.45,3.82,1.21%
YMD,353.84,-5.64,-0.87%
VPQT,36.45,-4.96,1.71%
YLG,167.19,-8.09,1.74%
TZR,31.45,1.15,4.16%
XSVF,275.73,6.37,2.65%
KYE,391.85,-1.64,-0.22%
VOU,73.69,0.27,-2.35%
KASH,31.46,-7.21,-3.66%
ISY,49.69,-4.62,-2.62%
GAB,151.57,5.99,0.42%
BMKL,468.0,8.8,2.56%
JBP,470.31,-5.69,-0.28%
KWI,57.02,1.79,-2.91%
TYTS,92.05,4.36,0.4%
GTO,260.85,0.47,-0.76%
VCKF,131.22,-0.18,1.47%
TALM,423.7,8.59,-4.15%
PAO,126.98,-0.24,3.5%
ANY,498.46,1.67,4.11%
SXZ,417.76,8.84,1.17%
BQE,456.74,1.39,2.92%
WRRH,392.69,-3.36,-0.1%
TLZX,256.92,0.36,-4.0%
LZSH,181.39,-5.18,-0.86%
HZNV,193.69,6.12,-4.44%
PRBO,171.76,-7.18,2.63%
SMS,426.83,-0.88,-0.26%
HTA,496.94,6.72,4.18%
BRU,157.83,3.74,4.31%
OLX,122.67,2.69,-0.51%
JYIX,164.23,4.29,2.07%
FRUR,336.67,-7.31,-2.92%
JXM,127.67,-1.89,-2.35%
AHC,120.96,-8.75,2.31%
